"Search Parameters"	"Location Name"	"Latitude"	"Longitude"	"Deaths"
	"ALGERIA:  NORTHERN"	36.199	1.374	5000
	"INDIA:  KASHMIR"	32.913	75.633	15
	"NEPAL-INDIA:   PITHORAGARH"	29.598	81.092	200
	"AZORES:   TERCEIRA, ANGRA DO HEROISMO"	38.727	-27.75	69
	"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK"	-8.39	115.889	27
	"COLOMBIA: OFF SHORE, PACIFIC OCEAN"	1.555	-79.276	600
	"IRAN"	33.974	59.847	20
	"COLOMBIA:  MANIZALES-ARMENIA"	4.805	-76.217	72
	"IRAN:  KHORASAN"	33.978	59.832	171
	"INDONESIA:  JAVA"	-7.656	108.252	30
	"INDONESIA:  NEW GUINEA:  IRIAN JAYA"	-1.679	136.04	15
	"CHINA:  JIANGSU PROVINCE:  LIYANG"	31.452	119.241	42
	"INDONESIA:  SUMBAWA ISLAND"	-8.207	115.949	22
	"BALKANS NW:  MONTENEGRO"	42.096	19.209	130
	"PERU:  AREQUIPA"	-16.39	-72.658	18
	"IRAN:  BONZANABAD"	33.918	59.555	129
	"IRAN:  MASJED-E-SOLEYMAN"	32.112	49.68	76
	"IRAN:  RASHT, SIAHBIL"	37.684	48.996	26
	"IRAN:  TABAS"	33.205	57.478	20000
	"GUATEMALA:  PATZUN"	14.843	-91.022	17
	"GREECE: THESSALONIKI"	40.739	23.229	50
	"JAPAN:  SANRIKU"	38.19	142.028	28
	"JAPAN:  TOKKAIDO, OSHIMA"	34.809	139.259	25
	"IRAN:  BAB-TANGOL"	30.94	56.53	584
	"ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA"	-31.03	-67.77	70
	"SOLOMON ISLANDS"	-9.965	160.731	18
	"SOLOMON ISLANDS"	-9.828	160.323	34
	"IRAN:  NAGHAN,ARDAL,JAGHDAN,DASTGERD,KORDAN,SARMUR"	31.845	50.711	366
	"TURKEY"	38.56	40.02	30
	"IRAN:  BANDAR ABBAS"	27.584	56.378	167
	"ROMANIA:  BUCHAREST"	45.777	26.703	1641
	"TURKEY:  MURADIYE"	39.12	44.03	5000
	"IRAN:  KHORASAN PROVINCE"	33.846	59.208	17
	"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA"	-4.517	139.918	133
	"ITALY:  NORTHEASTERN"	46.302	13.197	11
	"PHILIPPINES:  MINDANAO:  S"	6.292	124.09	1200
	"CHINA:  NE:  TANGSHAN"	39.57	117.98	242769
	"INDONESIA:  BALI"	-8.17	114.888	573
	"INDONESIA:  NEW GUINEA:  IRIAN JAYA"	-4.603	140.091	6000
	"ITALY:  NE, BALKANS NW:   SLOVENIA: NW"	46.356	13.275	978
	"ECUADOR:  ESMERALDOS"	0.78	-79.8	10
	"AFGHANISTAN:  HINDU-KUSH:  SHAMAGAN PROVINCE"	36.61	67.79	49
	"GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY"	15.324	-89.101	23000
	"TURKEY:  LICE"	38.474	40.723	2311
	"CHINA:  LIAONING PROVINCE:  YINGTAO, ANSHAN"	40.64	122.58	300
	"INDIA:  KASHMIR:   KINNAUR DISTRICT"	32.46	78.43	47
	"PAKISTAN:  BALAKOT, PATAN"	35.1	72.9	5300
